StateDesc,CountyName,FOODINSECU_CrudePrev,BPHIGH_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev
Alabama,Autauga,15.470588235294118,40.682352941176475,24.623529411764707,13.376470588235295
Alabama,Baldwin,11.98139534883721,39.574418604651164,24.132558139534886,13.69767441860465
Alabama,Barbour,26.522222222222222,49.93333333333333,23.233333333333334,19.744444444444444
Alabama,Bibb,21.525,42.875,26.475,15.675
Alabama,Blount,15.95,40.375,26.71875,13.98125
Alabama,Bullock,36.075,54.225,21.275,22.975
Alabama,Butler,23.966666666666665,48.24444444444444,23.133333333333336,18.533333333333335
Alabama,Calhoun,22.142857142857142,43.54857142857143,25.84857142857143,16.16857142857143
Alabama,Chambers,22.12222222222222,46.32222222222222,23.77777777777778,17.733333333333334
Alabama,Cherokee,15.925,45.025,26.5375,16.25
Alabama,Chilton,17.525000000000002,41.90833333333333,25.84166666666667,14.383333333333333
Alabama,Choctaw,24.2,51.275,23.425,20.225
Alabama,Clarke,23.566666666666666,47.9,23.755555555555556,18.58888888888889
Alabama,Clay,17.725,44.4,25.4,16.025
Alabama,Cleburne,16.725,42.0,26.85,14.95
Alabama,Coffee,17.55,41.075,23.96875,14.75625
Alabama,Colbert,16.86,42.78666666666666,25.413333333333334,15.306666666666667
Alabama,Conecuh,25.16,50.260000000000005,23.6,20.34
Alabama,Coosa,18.366666666666667,46.36666666666667,23.5,17.46666666666667
Alabama,Covington,18.071428571428573,43.25714285714286,27.150000000000002,16.07857142857143
Alabama,Crenshaw,20.28333333333333,45.11666666666667,25.21666666666667,16.716666666666665
Alabama,Cullman,14.695454545454545,40.72727272727273,27.277272727272727,13.7
Alabama,Dale,19.185714285714287,42.5,25.464285714285715,15.614285714285714
Alabama,Dallas,30.952941176470592,51.67058823529412,21.458823529411767,21.676470588235293
Alabama,DeKalb,19.495238095238093,41.04761904761905,27.585714285714282,15.514285714285714
Alabama,Elmore,15.95,40.79,24.31,14.080000000000002
Alabama,Escambia,25.17,47.38,25.380000000000003,18.5
Alabama,Etowah,21.315151515151513,43.39090909090909,26.315151515151513,16.527272727272727
Alabama,Fayette,19.14,45.660000000000004,26.419999999999998,16.740000000000002
Alabama,Franklin,19.918181818181818,41.36363636363637,26.981818181818184,15.627272727272727
Alabama,Geneva,18.583333333333332,44.15,27.683333333333334,16.433333333333334
Alabama,Greene,36.975,58.05,21.5,25.075
Alabama,Hale,29.5,51.18571428571429,22.642857142857142,20.685714285714287
Alabama,Henry,19.966666666666665,47.03333333333333,24.383333333333336,18.349999999999998
Alabama,Houston,20.623076923076926,44.42307692307692,23.996153846153845,16.36923076923077
Alabama,Jackson,18.25625,42.3375,27.33125,15.69375
Alabama,Jefferson,21.737037037037037,43.33862433862434,23.16984126984127,15.877777777777778
Alabama,Lamar,16.875,44.9,26.025,15.925
Alabama,Lauderdale,17.111538461538462,41.16923076923077,25.873076923076926,14.123076923076923
Alabama,Lawrence,19.072727272727274,44.31818181818182,25.563636363636363,16.172727272727272
Alabama,Lee,18.349999999999998,33.947916666666664,25.858333333333334,11.341666666666667
Alabama,Limestone,15.017391304347825,39.19130434782608,23.917391304347827,13.508695652173913
Alabama,Lowndes,33.925,54.8,21.4,23.75
Alabama,Macon,29.55,50.791666666666664,20.90833333333333,20.641666666666666
Alabama,Madison,15.505263157894737,38.23157894736842,23.347368421052632,12.78
Alabama,Marengo,26.099999999999998,50.8125,23.075,19.675
Alabama,Marion,17.236363636363635,43.52727272727273,26.954545454545453,15.654545454545454
Alabama,Marshall,16.226923076923075,40.68846153846154,26.26923076923077,14.026923076923076
Alabama,Mobile,23.650746268656714,43.16268656716418,23.57537313432836,16.619402985074625
Alabama,Monroe,26.51111111111111,50.06666666666667,23.644444444444446,20.41111111111111
Alabama,Montgomery,25.359154929577464,44.346478873239434,21.7056338028169,17.807042253521125
Alabama,Morgan,17.335483870967742,41.65161290322581,26.203225806451613,15.229032258064517
Alabama,Perry,31.15,53.825,22.45,22.2
Alabama,Pickens,24.5,48.083333333333336,23.099999999999998,18.150000000000002
Alabama,Pike,21.227272727272727,40.27272727272727,25.163636363636364,14.70909090909091
Alabama,Randolph,18.366666666666667,44.68333333333334,26.316666666666666,16.166666666666668
Alabama,Russell,25.47222222222222,44.43333333333333,24.311111111111114,17.394444444444446
Alabama,Shelby,11.562264150943395,37.31509433962264,24.09245283018868,11.571698113207546
Alabama,St. Clair,14.450000000000001,38.85,26.8625,13.454166666666666
Alabama,Sumter,30.860000000000003,51.36,22.66,21.080000000000002
Alabama,Talladega,22.108333333333334,46.63333333333333,24.145833333333332,17.308333333333334
Alabama,Tallapoosa,19.575,46.43333333333334,23.983333333333334,17.308333333333334
Alabama,Tuscaloosa,21.001694915254237,39.088135593220336,26.406779661016948,13.274576271186442
Alabama,Walker,17.015,41.775,27.814999999999998,15.569999999999999
Alabama,Washington,19.860000000000003,47.739999999999995,24.8,17.3
Alabama,Wilcox,35.94,55.2,22.22,23.82
Alabama,Winston,16.7375,43.6,27.4875,15.7
Alaska,Aleutians East,23.6,30.8,16.1,12.1
Alaska,Aleutians West,20.0,27.450000000000003,17.5,10.25
Alaska,Anchorage,13.893333333333334,27.791666666666668,22.051666666666666,8.603333333333333
Alaska,Bethel,35.166666666666664,33.166666666666664,22.833333333333332,12.766666666666666
Alaska,Bristol Bay,13.4,32.4,20.6,10.7
Alaska,Chugach,9.95,26.75,19.15,8.7
Alaska,Copper River,14.2,34.8,19.9,12.1
Alaska,Denali,9.2,30.1,19.7,8.0
